"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B09001_001E","Estimate!!Total"
"B09001_001M","Margin of Error!!Total"
"B09001_002E","Estimate!!Total!!In households"
"B09001_002M","Margin of Error!!Total!!In households"
"B09001_003E","Estimate!!Total!!In households!!Under 3 years"
"B09001_003M","Margin of Error!!Total!!In households!!Under 3 years"
"B09001_004E","Estimate!!Total!!In households!!3 and 4 years"
"B09001_004M","Margin of Error!!Total!!In households!!3 and 4 years"
"B09001_005E","Estimate!!Total!!In households!!5 years"
"B09001_005M","Margin of Error!!Total!!In households!!5 years"
"B09001_006E","Estimate!!Total!!In households!!6 to 8 years"
"B09001_006M","Margin of Error!!Total!!In households!!6 to 8 years"
"B09001_007E","Estimate!!Total!!In households!!9 to 11 years"
"B09001_007M","Margin of Error!!Total!!In households!!9 to 11 years"
"B09001_008E","Estimate!!Total!!In households!!12 to 14 years"
"B09001_008M","Margin of Error!!Total!!In households!!12 to 14 years"
"B09001_009E","Estimate!!Total!!In households!!15 to 17 years"
"B09001_009M","Margin of Error!!Total!!In households!!15 to 17 years"
"B09001_010E","Estimate!!Total!!In group quarters"
"B09001_010M","Margin of Error!!Total!!In group quarters"
